latitude,longitude,tweet_time
-11.551407180496518,-77.0917212585037,1315
-12.835438608196563,-76.87213873948791,1190
-11.900709508848529,-77.11236457936207,256
-12.91297315421799,-76.98105949318635,893
-12.846039576750087,-77.24047657174499,687
-12.064999773145397,-76.50359609607258,121
-12.321275884082063,-76.8066532987178,839
-12.994534121982843,-77.18315471841058,65
-12.409501120095053,-77.19591334038171,491
-12.624864777309643,-76.91337222639648,1174
-11.692623382573444,-77.28018744237046,1267
-11.937867737153505,-76.97037022120759,114
-11.893750294482789,-76.54406759217724,340
-11.573576260224707,-76.64131219911192,147
-11.935210568968433,-76.55603268901518,1210
-12.759142704034183,-77.21110945434214,101
-11.594031982122736,-77.003351671267,435
-12.830338470201921,-76.85600200584955,1198
-12.71108785677679,-76.72378493036256,1072
-12.572282873503568,-76.98603581872963,897
-12.737349060084432,-77.04483968881406,399
-12.97251800553452,-77.05594824229962,1303
-12.311265940321844,-76.66843638649424,1116
-11.968047539602555,-76.99454311634747,1291
-12.368159147024233,-77.2869497791594,577
-12.647837318541304,-76.68382769888403,677
-11.675644325131099,-77.17093196773536,1083
-12.417548805159175,-76.79743108906241,1093
-11.74167684178788,-77.27642810033377,732
-12.73225212307441,-76.99041147493168,707
-12.499927658026598,-76.9352543021615,348
-11.79473522857164,-76.52153386917334,307
-12.954330284494773,-77.229463882653,61
-11.61926520513317,-76.69878705491512,767
-12.405165814385569,-76.52819890940226,162
-11.533027157000921,-77.0784726292806,922
-11.947960136643202,-77.11947863623911,256
-11.575911071656353,-76.53834519505965,1320
-12.900684640173067,-76.90835304754097,920
-11.91697865140961,-76.64192926941514,150
-11.686805934802823,-76.66429586477103,114
-11.51865292536052,-77.03919841117639,531
-12.949893987486481,-77.15002140809935,1290
-12.875285648772596,-76.7376880269232,616
-11.90247360396108,-76.89895749472254,600
-12.941611199949264,-76.90760050487057,1350
-12.98294681316982,-76.86303484808553,387
-12.182392549110922,-77.27947801610168,184
-12.205804166560974,-77.2959458889299,901
-12.079748900183347,-77.04870634854908,481
-12.978875249383332,-77.04105165722008,1018
-12.245054971153733,-76.72501481497824,915
-12.569974179811688,-77.03946715141876,61
-11.865910205688904,-77.01235762954556,1150
-12.477691370018933,-76.86036327670138,33
-12.465106781373802,-76.82671282887873,972
-12.01864940925974,-77.03336622667976,1141
-12.00900178715209,-76.85351575116987,5
-12.912548380691954,-76.80574496855193,584
-12.060993298848333,-77.09100418313017,1117
-12.013221594781324,-77.11140352000504,282
-12.31371453309724,-76.58765266150492,648
-11.758202171637626,-76.78203999237053,1097
-12.986349861423069,-77.05114145692131,898
-11.547437891891622,-76.85938520669859,1057
-12.435962589868792,-76.7340745395099,54
-12.10645246107497,-77.28189659919147,1392
-12.948511941537353,-76.56413403496532,559
-11.936649517892747,-76.72621534547315,172
-12.18444897952023,-76.9861966890176,450
-11.55945230721298,-76.55418980403712,179
-12.366203949263653,-77.25532178694321,926
-11.917190268900855,-76.69665471443525,1029
-12.888658322844122,-76.87896981119748,1194
-12.903203402197091,-76.76816841569041,736
-11.576488468314102,-76.92288745248474,192
-12.620043117736529,-77.18221538703963,1325
-11.6314075237646,-77.09136577581647,443
-12.868565014395434,-76.92956510486405,508
-12.043391171167592,-76.5649277889805,1205
-12.172624331166949,-77.2453420035427,213
-11.550732280512248,-77.21623295870383,1185
-12.3939805001356,-77.17783298999008,436
-12.927390016521043,-76.79430337674738,960
-12.288882038984262,-77.00695594354296,548
-11.763721775858254,-77.18060484864192,759
-12.921301910664305,-77.20242802331967,790
-12.945707720003861,-76.7606715365817,1169
-11.767373086724316,-76.92992741472995,621
-11.764037236334206,-76.601793939871,644
-12.700031579087312,-76.97677947015086,787
-12.013785711575416,-76.77540661198844,506
-12.903592010695249,-76.6633243997297,338
-11.851584237024667,-76.53705697411719,182
-12.54220498364011,-76.60456184728145,705
-12.654232058174749,-76.67975472859428,1283
-11.983534511065523,-76.96968955262398,538
-11.632662086113195,-76.51375642582931,455
-12.9377425745183,-77.0882247101342,673
-12.784395019560924,-76.77096345670957,1140
